col:taxonID	col:sourceID	col:estimate	col:type	col:referenceID	col:remarks	col:modified	col:modifiedBy	clb:merged
		236	species living	3				
		336	species living	3				
5H		12500	species living	25				
993		3	species living	30				
		8130	species living	3				
NN		17388	species living	74				
RT		1257040	species living	74				
CN2		10203	species living	74				
CHN		7550	species living	74				
8H		900	species living	40				
H6		1053578	species living	69				
MC		40200	species living	40				
FZ4		4	species living	30				
KVRH3		26	species living	3				
		2425	species living	74				
KTZZW		14894	species living	61				
		198	species living	36				
6279Z		105	species living	30				
8X		10	species living	40				
		800	species living	3				
		117	species living	70				
		11	species living	55				
		6	species living	72				
LYC		1340	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
6KC		3700	species living	30				
C78		1	species living	30				
L2JRG		333	species living	74				
5QG		7169	species living	74				
VP		29190	species living	17				
RCXBV		2052	species living	55				
L2MHG		7000	species living	25				
CGV7L		8000	species living	25				
KZS5S		6000	species living	25				
CCQKT		110615	species living	3				
KSWVD		40	species living	72				
BV859		140	species living	72				
NRFKJ		1	species living					
C6P8Z		8	species living	21				
XJ		165	species living	30				
4NL8		1	species living					
8NKG4		5289	species living	29				
8MP8L		27	species living	77f4142c-5f29-428e-8f3d-82af27de5cd0				
LB		935	species living	23				
KTHM5		123	species living	72				
623BF		134	species living	35				
MG		246366	species living	39				
62282		2	species living	55				
6TQ		720	species living	72				
BB7		17	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
RN		44863	species living	3				
ST		35326	species living	30				
FTH		2	species living	30				
SMQQD		1270	species living	55				
GCF		3	species living	30				
DGB		70	species living	30				
QG		738	species living	30				
		112	species living	55				
626ZL		45	species living	30				
99H		13	species living	30				
32L		4246	species living	30				
SJ		45	species living	30				
LWT55		200	species living	55				
34W		844	species living	55				
3R6		1579	species living	55				
3SQ		4	species living	55				
627VM		23362	species living	55				
MLP		18494	species living	30				
C3F		260	species living	30				
627H3		320	species living	30				
FJ5		37	species living	30				
5TP		63	species living	74				
FPS		140	species living	30				
FWG		1350	species living	30				
6PR		897	species living	74				
QRMLH		680	species living	55				
622LS		160	species living	74				
C7ZVJ		615	species living	48				
C7ZVH		615	species living	21				
93		3100	species living	3				
		10	species living	6				
8W5		5750	species living	55				
		1	species living	30				
CXW		13	species living	30				
6265M		1	species living	30				
L7SRT		20	species living	42				
8NKNM		18	species living	29				
H8K		4	species living	55				
BJH		35	species living	55				
6VS		750	species living	47cb39fd-47bd-4653-b11b-95c6baf1b1d0				
9BD		3	species living	72				
7LV		55	species living	30				
CHKVQ		220	species living	30				
7NDYN		71	species living	30				
DX3		950	species living	30				
6225G		70	species living	23				
5K		1700	species living	26				
		1	species living	24				
CK		33	species living	23				
KVQW6		7	species living	35				
		1	species living	6				
MJ		27	species living	35				
3FS		7	species living	35				
625DD		3	species living	30				
62558		70	species living	30				
622H8		79	species living	30				
CDGB8		209	species living	30				
TW		3300	species living	30				
35C		1273	species living	30				
9CG		340	species living	30				
G3V		50	species living	30				
HY9		14	species living	30				
		157	species living	62				
6272V		81	species living	24				
HKV		32	species living	24				
CXH		5	species living	30				
GHD		2	species living	30				
BJ5VK		179	species living	2				
624VG		42	species living	71				
8L8		295	species living	71				
